9444-3c3b5ec4c9685,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Flavobacterium; [S] Flavobacterium psychrophilum;
822c-37695920139c1,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Flavobacterium; [S] Flavobacterium psychrophilum;
a94e-9062bbdfb3331,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Flavobacterium; [S] Flavobacterium sediminis;
a94e-9062bbdfb33329,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Flavobacterium; [S] Flavobacterium sediminis;
a94e-9062bbdfb33330,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Flavobacterium; [S] Flavobacterium sediminis;
8da0-2ebf96197b4a1,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Oceanihabitans; [S] Oceanihabitans sp. IOP_32;
8da0-2ebf96197b4a2,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Flavobacteriaceae; [G] Oceanihabitans; [S] Oceanihabitans sp. IOP_32;
87e3-b9416d13cb531,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Weeksellaceae; [G] Empedobacter; [S] Empedobacter brevis;
8388-e64dae05ec051,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Weeksellaceae; [G] Weeksella; [S] Weeksella virosa;
8388-e64dae05ec0520,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Weeksellaceae; [G] Weeksella; [S] Weeksella virosa;
a9b1-5feb48a4c3a71,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Weeksellaceae; [G] Weeksella; [S] Weeksella virosa;
a9b1-5feb48a4c3a72,2,S,[D] Bacteria; [P] Bacteroidetes; [C] Flavobacteriia; [O] Flavobacteriales; [F] Weeksellaceae; [G] Weeksella; [S] Weeksella virosa;
9d34-0b0e049f842113,2,S,[D] Bacteria; [P] Fibrobacteres; [C] Fibrobacteria; [O] Fibrobacterales; [F] Fibrobacteraceae; [G] Fibrobacter; [S] Fibrobacter succinogenes;
